soc_code,preferred_title,classification_level,broader_soc_code
11-0000,Management Occupations,major_group,
11-1000,Top Executives,minor_group,11-0000
11-1010,Chief Executives,broad_occupation,11-1000
11-1011,Chief Executives,detailed_occupation,11-1010
11-1020,General and Operations Managers,broad_occupation,11-1000
11-1021,General and Operations Managers,detailed_occupation,11-1020
11-1030,Legislators,broad_occupation,11-1000
11-1031,Legislators,detailed_occupation,11-1030
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor_group,11-0000
11-2010,Advertising and Promotions Managers,broad_occupation,11-2000
11-2011,Advertising and Promotions Managers,detailed_occupation,11-2010
11-2020,Marketing and Sales Managers,broad_occupation,11-2000
11-2021,Marketing Managers,detailed_occupation,11-2020
11-2022,Sales Managers,detailed_occupation,11-2020
11-2030,Public Relations and Fundraising Managers,broad_occupation,11-2000
11-2032,Public Relations Managers,detailed_occupation,11-2030
11-2033,Fundraising Managers,detailed_occupation,11-2030
11-3000,Operations Specialties Managers,minor_group,11-0000
11-3010,Administrative Services and Facilities Managers,broad_occupation,11-3000
11-3012,Administrative Services Managers,detailed_occupation,11-3010
11-3013,Facilities Managers,detailed_occupation,11-3010
11-3020,Computer and Information Systems Managers,broad_occupation,11-3000
11-3021,Computer and Information Systems Managers,detailed_occupation,11-3020
11-3030,Financial Managers,broad_occupation,11-3000
11-3031,Financial Managers,detailed_occupation,11-3030
11-3050,Industrial Production Managers,broad_occupation,11-3000
11-3051,Industrial Production Managers,detailed_occupation,11-3050
11-3060,Purchasing Managers,broad_occupation,11-3000
11-3061,Purchasing Managers,detailed_occupation,11-3060
11-3070,"Transportation, Storage, and Distribution Managers",broad_occupation,11-3000
11-3071,"Transportation, Storage, and Distribution Managers",detailed_occupation,11-3070
11-3110,Compensation and Benefits Managers,broad_occupation,11-3000
11-3111,Compensation and Benefits Managers,detailed_occupation,11-3110
11-3120,Human Resources Managers,broad_occupation,11-3000
11-3121,Human Resources Managers,detailed_occupation,11-3120
11-3130,Training and Development Managers,broad_occupation,11-3000
11-3131,Training and Development Managers,detailed_occupation,11-3130
11-9000,Other Management Occupations,minor_group,11-0000
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad_occupation,11-9000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed_occupation,11-9010
11-9020,Construction Managers,broad_occupation,11-9000
11-9021,Construction Managers,detailed_occupation,11-9020
11-9030,Education and Childcare Administrators,broad_occupation,11-9000
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed_occupation,11-9030
11-9032,"Education Administrators, Kindergarten through Secondary",detailed_occupation,11-9030
11-9033,"Education Administrators, Postsecondary",detailed_occupation,11-9030
11-9039,"Education Administrators, All Other",detailed_occupation,11-9030
11-9040,Architectural and Engineering Managers,broad_occupation,11-9000
11-9041,Architectural and Engineering Managers,detailed_occupation,11-9040
11-9050,Food Service Managers,broad_occupation,11-9000
